DRUGS,ROOTS,VARIANTS
dysen,dysen,"dysen,
dysen 750 mg,
dysen cp,
dysen forte cp,
dysen sirop,
dysen sp
"
eflavyl,eflavyl,"e flavyl,
eflavyl 200mg cp"
easetec,easetec,"easetec 10mg cp
"
eau oxygene,eau oxygene,"eau oxygene
"
econazole,econazole,"econazole ovule
"
ecorex,"ecorex, ecorex lot","ecorex - 1% creme,
ecorex creme,
ecorex lait,
ecorex ovule,
ecorex ovules,
ecorex pommade,
ecorex solution spray,
ecorex lot
"
effaclar,"effaclar, effaclar duo m, effaclar duo spf, effaclar moussant","effaclar duo + m,
effaclar duo + spf 50,
effaclar gel,
effaclar gel moussant
"
effederm,"effederm, effederm pour cent","effederm 0,05 pour cent creme,
effederm 0,05% creme,
effederm creme"
effeeralgan,effeeralgan,"effeeralgan sirop
"
efferalgan,"efferalg cod,efferalgan, efferalgan cod,
 efferalgan codeine, efferalgan effer, efferalgan effert, 
efferalgan mg, efferalgan ou doliprane, efferalgan p, efferalgan ped, 
efferalgan pedaitrique, efferalgan pediatric, efferalgan pediatrique, 
efferalgan tab, efferalgan vit c, efferalgan vitamine c, efferalgann","efferalg- cod sec,
efferalgan,
efferalgan - 30mg/ml, fl/90ml,
efferalgan -30,
efferalgan 1 g,
efferalgan 100 mg sachet,
efferalgan 1000,
efferalgan 1000 cp,
efferalgan 150 mg suppo,
efferalgan 150 mg suppositoire,
efferalgan 1g,
efferalgan 1g cp,
efferalgan 1g cp eff,
efferalgan 1g eff,
efferalgan 1g sec,
efferalgan 250 mg,
efferalgan 250 mg sachets,
efferalgan 300,
efferalgan 300 mg,
efferalgan 300 mg sachet,
efferalgan 300 mg sch,
efferalgan 500,
efferalgan 500 cp,
efferalgan 500 mg,
efferalgan 500 mg cp eff,
efferalgan 500mg,
efferalgan 500mg comp,
efferalgan 500mg cp,
efferalgan cp,
efferalgan cp 1g,
efferalgan cp 500 mg,
efferalgan eff 1g,
efferalgan effervescent,
efferalgan effervescent 1000 mg,
efferalgan effervescent 1g,
efferalgan effervescent 300 mg,
efferalgan enfant,
efferalgan gel,
efferalgan nrs,
efferalgan sachet 200,
efferalgan sachet 250,
efferalgan sachet 250 mg,
efferalgan sachet 300 mg,
efferalgan sirop,
efferalgan sp,
efferalgan suppo,
efferalgan suppo 150 mg,
efferalgan250 mg,
efferalgan + vit c,
efferalgan - vit c,
efferalgan vit c,
efferalgan -ped,
efferalgan 3% ped,
efferalgan ped,
efferalgan 1g tab,
efferalgan comprime tab,
efferalgan cod eff,
efferalgan p,
efferalgan p sirop,
efferalgan / vitamine c,
efferalgan 1g cp effert,
efferalgan codeine,
efferalgan codeine 1g,
efferalgan codeine cp,
efferalgan effer,
efferalgan ou doliprane 300,
efferalgan pedaitrique,
efferalgan pediatric,
efferalgan pediatrique,
efferalgan pediatrique sp,
efferalgan sp pediatrique
efferalgann 1g
"
efirub,"efirub, efirub sh","efirub,
efirub sachet,
efirub sh
"
elastro m,"elastro m, elastroplast","elastro 1,5 m
elastroplast
"
elgydium souple,"elgydium blancheur, elgydium blancheur pate dentifrice, 
elgydium gencive sensible, elgydium multi action, elgydium souple, 
elgydium souple brosse a dent","elgydium blancheur,
elgydium blancheur (pate dentifrice),
elgydium gencive sensible,
elgydium multi-action,
elgydium souple 20/100,
elgydium souple 20/100 ( brosse a dent)"
elica,"elica, elica pmd","elica,
elica creme,
elica pde,
elica pmde,
elica pommade,
elica pmd"
ellya,"ellya, ellya intime","ellya gel intime,
ellya solution"
eludril,"eludril, eludril de, eludril pro, eludril pro de","eludril,
eludril bb,
eludril solution,
eludril bain de bouche,
eludril pro,
eludril pro 200 ml,
eludril pro bb,
eludril pro solution,
eludril pro bain de bouche"
emcof,emcof,emcof sp
emla,emla,emla 5% creme
empagliflozin,empagliflozin,empagliflozin 10
enfagrip,enfagrip,"enfagrip,
enfagrip sp"
engerix,engerix,"engerix b,
engerix b 20g"
enhacin,enhacin,"enhacin 500
"
enhancin,enhancin,"enhancin,
enhancin 1g,
enhancin 500"
enrouex,enrouex,"enrouex,
enrouex sirop,
enrouex sp"
entamizole,"entamizol ds,
entamizole, entamizole ds","entamizol ds
entamizole,
entamizole 400/500,
entamizole sirop,
entamizole ds"
enteral,enteral,"enteral
"
eosine,"eosine, eosine aqueuse","eosine,
eosine 1%,
eosine 2%,
eosine aqueuse,
eosine aqueuse 1%,
eosine aqueuse 2%"
ery,ery,"ery 500,
ery 500 mg,
ery 500mg,
ery cp 500mg
"
erythro,"erythro, erythromycine","erythro 500 mg, erythromycine 500"
eryfluid,"eryfluid, eryfluid lot","eryfluid lot,
eryfluid lotion
"
escodyne,escodyne,"escodyne,
escodyne - b/10,
escodyne cp,
escodyne cp eff,
escodyne cp effervescent

"
esidrex,esidrex,esidrex 25 mg cp
esomecro,esomecro,esomecro 40
esomed,esomed,"esomed 40, 
esomed 40mg comp"
esomeprazole,esomeprazole,"esomeprazole 40
"
esomeral,esomeral,"esomeral,
esomeral 40,
esomeral 40 mg,
esomeral 40mg,
esomeral 40mg comprime,
esomeral comprime 40 mg"
ether,ether,"ether
"
eucarbon,eucarbon,"eucarbon,
eucarbon comprime,
eucarbon cp
"
euphon,"euphon, euphon pastille, euphon pastilles maux de gorge","
euphon,
euphon pastille,
euphon pastilles maux de gorge
"
euphytose,euphytose,"euphytose
"
eurythmic,eurythmic,"eurythmic 200
"
euvax ou engerix,euvax ou engerix,euvax b ou engerix
exforge,exforge,"exforge 5/160mg,
exforge 5/80"
exoderil,exoderil,"exoderil creme,
exoderil solution"
exomuc,exomuc,"exomuc,
exomuc 200,
exomuc adulte,
exomuc sachet,
exomuc scht"
ezomuc,ezomuc,ezomuc
ext,ext,"ext 1,2"
exten,"exten, exten iu, extencilline","exten 2 iu,
exten 2,4,
extencilline 1,2"
exxib,exxib,"exxib,
exxib 200,
exxib 200 comprimes,
exxib 200 mg,
exxib cp,
exxib cp 200 mg,
exxib cp 200mg"
fansidar,fansidar,"fansidar,
fansidar - 500/25mg, b/3,
fansidar 500,
fansidar cp"
faside,faside,"faside,
faside creme,
faside pde,
faside pommade"
fazol,fazol,fazol creme
febrex tm,febrex tm,"febrex tm
"
febrilex,febrilex,"febrilex,
febrilex +,
febrilex cp,
febrilex enfant,
febrilex junior,
febrilex junior sp,
febrilex sirop,
febrilex sp
"
febstat,febstat,"febstat 40,
febstat 40mg cp
"
fedate,fedate,"fedate,
fedate gel,
fedate sirop,
fedate sp
"
feldene,feldene,feldene dispersible
femifer,femifer,"femifer,
femifer sp
"
femigeston,femigeston,"femigeston 400 mg capsules
"
fenugrec vz,fenugrec vz,"fenugrec vz,
fenugrec vz sp
"
fer,fer,"fer 60,
fer cp
"
fercefol,fercefol,"fercefol,
fercefol comp,
fercefol comprime,
fercefol cp,
fercefol gelule,
fercefol gelules,
fercefol sirop,
fercefol sp
"
feremi,feremi,feremi sp
ferfoltone,ferfoltone,ferfoltone cp
fero denk,fero denk,"fero denk
"
ferro denk,ferro denk,"ferro denk,
ferro denk cp
"
ferox,ferox,"ferox,
ferox cp,
ferox gel,
ferox sp
"
ferrox,ferrox,"ferrox forte
"
ferplex,ferplex,"ferplex
"
ferrex,ferrex,"ferrex forte cp,
ferrex forte gel
"
fertilo,fertilo,"fertilo forte,
fertilo forte g,
fertilo stick"
fervex,"fervex, fervex enft, fervex sat, fervex schet, fervex sht, fervex st","fervex,
fervex adulte,
fervex adulte - 500/25/200mg, b/8,
fervex enfant,
fervex enfant sachet,
fervex sachet,
fervex sachet enfant,
fervex scht,
fervex scht adulte,
fervex adulte sht,
fervex sat,
fervex st,
fervex enft,
fervex schet"
ferzol,ferzol,"ferzol
"
fevastin,fevastin,"fevastin injectable
"
fexford,fexford,fexford 120
fil en nylon,"fil de suture, fil dentaire sensodyne, fil en nylon","fil de suture,
fil dentaire sensodyne,
fil en nylon"
fils cheveux,fils cheveux,fils cheveux
fixim,fixim,"fixim - 100mg/5ml, fl/60ml,
fixim 100,
fixim 100 mg sirop,
fixim 100 mg sp,
fixim 100 sirop,
fixim 100mg sirop,
fixim 200,
fixim 200 g,
fixim 200 mg,
fixim 200 mg cp,
fixim 200mg,
fixim 200mg cp,
fixim 400,
fixim 400mg,
fixim sirop,
fixim sirop 100,
fixim sp,
fixim sp 100 mg,
fixim sp 100 mg/5 ml,
fixim sp 100mg/5ml"
flagentyl,flagentyl,"flagentyl 500,
flagentyl 500mg,
flagentyl cp
"
flagyl,"flagyl, flagyl ov, flagyl pellic, flagyl perf","flagyl,
flagyl 125mg/5ml,
flagyl 250 mg sirop,
flagyl 500,
flagyl 500 cp,
flagyl 500 mg,
flagyl 500 mg comprimes,
flagyl 500 mg cp,
flagyl 500mg,
flagyl 500mg cp,
flagyl 500mg injectable,
flagyl cp,
flagyl cp 500 mg,
flagyl inj,
flagyl ovule,
flagyl sirop,
flagyl sp,
flagyl ov,
flagyl 500 mg cp pellic,
flagyl perf"
flatoril,flatoril,"flatoril,
flatoril cp,
flatoril gelules
"
flatuplexin,"flatuplexin, flatuplexin ch, flatuplexin sacht","flatuplexin,
flatuplexin ch,
flatuplexin sacht
"
fleming,fleming,"fleming 1000 mg cp,
fleming 1000mg,
fleming 1g,
fleming 1g cp,
fleming 1g cpr,
fleming 1g/125mg cp,
fleming 500 cp,
fleming cp,
fleming cp 500 mg"
flexdol,flexdol,"flexdol,
flexdol cp
"
flexpar,flexpar,"flexpar
"
flexpro extra,flexpro extra,"flexpro extra,
flexpro extra cp"
flixonase,"flixonase, flixonase doses, flixonase ou nasoaldo","flixonase,
flixonase 50 spray,
flixonase sachets,
flixonase spray,
flixonase 120 doses,
flixonase ou nasoaldo

"
fluxonase nasales,fluxonase nasales,"fluxonase gouttes nasales
"
flixotide,"flixotide, flixotide d, flixotide dose, flixotide doses, flixotide nasal, 
flixotide ou equivalent","flixotide,
flixotide 125 mg,
flixotide 50,
flixotide 50 g,
flixotide 50 g spray,
flixotide 50 spray,
flixotide 50g,
flixotide 50g spray,
flixotide 50mcg,
flixotide sirop,
flixotide spray,
flixotide 50g/d,
flixotide 120 doses,
flixotide 50 g dose,
flixotide ou equivalent,
flixotide spray nasal"
florine,florine,"florine 0,4 mg
"
flotac,flotac,"flotac,
flotac 75,
flotac 75 mg,
flotac 75 mg comprimes,
flotac 75 mg gelules,
flotac gel,
flotac gelules"
flub,"flub, flubenda, flubenda gh
flubendazole, flubendazole gh","flub,
flub 100 mg,
flub 100 mg cp,
flub comprime,
flub cp,
flub sirop
flubenda gh,
flubenda gh 1oo mg cp,
flubenda gh sirop,
flubenda gh sp,
flubenda susp buvable
flubendazole,
flubendazole sp,
flubendazole gh"
fluca,"fluca, flucano denk
flucanozole,
flucazol, flucazol pdr
flucazole, flucap","fluca,
fluca col,
fluca coll,
fluca collyre,
flucano denk 150mg comprime
flucanozole
flucazol,
flucazol 100,
flucazol 150,
flucazol 150 mg,
flucazol cp,
flucazol sirop,
flucazol pdr 50 mg/5 ml
flucazole creme,
flucazole sirop,
flucazole sp
flucap 150 mg"
flucess,flucess,"flucess 150,
flucess 150 cp,
flucess 150 mg,
flucess 150 mg cp,
flucess 150 mg gelule,
flucess 150 mg gelules,
flucess 150mg cp,
flucess sp 150"
fluco,"fluco, flucogen, flucona denk, fluconazole","fluco sp
flucogen,
flucogen 500,
flucogen 500mg,
flucogen cp,
flucogen sp
flucona denk,
flucona denk 100,
flucona denk 150,
flucona denk 150 mg,
flucona denk 200
fluconazole 150,
fluconazole 150 mg,
fluconazole sirop,
fluconazole sp"
flucon,flucon,"flucon coll,
flucon collyre
"
fludex,fludex,"fludex lp
"
fluditec,fluditec,"fluditec,
fluditec 2%,
fluditec 5 %,
fluditec 5%,
fluditec sp"
fludol,"fludol, fludol dm, fludol exp, fludol expectorant, fludol p, fludolsp","fludol,
fludol capsule,
fludol capsules,
fludol cp,
fludol gel,
fludol gelule,
fludol plus sirop,
fludol sirop sp,
fludol sp,
fludol dm,
fludol dm sp,
fludol exp,
fludol exp sp,
fludol p,
fludol p +,
fludol p + sirop,
fludol p + sp,
fludol p sirop,
fludol expectorant
fludolsp"
flugen,flugen,"flugen,
flugen 100,
flugen 100mg,
flugen cp,
flugen sp
"
flumicid,flumicid,flumicid scht
fluocaril,"fluocaril, fluocarill de","
fluocaril,
fluocaril 250 mg
fluocarill bain de bouche"
fluomizin,fluomizin,"fluomizin,
fluomizin ovule
"
flur,flur,"flur,
flur 100mg
"
flustaph,flustaph,"flustaph,
flustaph 250,
flustaph 500,
flustaph cp,
flustaph sp
"
flutiair,flutiair,"flutiair,
flutiair spray
"
fluticasone,"fluticasone, fluticasone propionate dose sus p, 
fluticasone propionate doses p inhal","fluticasone,
fluticasone propionate 50 g doses susp p inhal,
fluticasone propionate 50 g/dose sus p
"
fluvermal,fluvermal,"fluvermal cp,
fluvermal sirop,
fluvermal sp
"
folifer,folifer,"folifer,
folifer cp
"
folligraf,folligraf,folligraf 75 ui
forlax,"forlax, forlax sach","forlax,
forlax 10 g,
forlax sach"
formate,formate,"formate b 200
"
fortaline,fortaline,"fortaline,
fortaline gel plus
"
fortil citron miel,fortil citron miel,"fortil citron miel
"
fortrans,fortrans,"fortrans sachets
"
forxiga,forxiga,"forxiga 10 mg,
forxiga 10mg"
frakidex,"frakidex, frakidex ou tobradex","frakidex,
frakidex coll,
frakidex collyre,
frakidex pommade,
frakidex pommade ou tobradex pommade
"
fridial,fridial,"fridial - 250mg, fl/50ml,
fridial sp
"
fructines,fructines,"fructines,
fructines cp,
fructines gel
"
fructose,fructose,fructose cp
fucidine,"fucidine, fucidine pour cent, fucidine t","fucidine,
fucidine 2%,
fucidine 2% pommade,
fucidine 500,
fucidine cp,
fucidine creme,
fucidine pde,
fucidine pmde,
fucidine pommade,
fucidine - 2%, t/15g,
fucidine 2 pour cent pommade"
fusidine,fusidine,fusidine pde
fucithalmic,fucithalmic,"fucithalmic
"
fuclo,fuclo,"fuclo 250 mg,
fuclo 500,
fuclo sirop
"
fumafer,"fumafer, fumafer pellicule","fumafer,
fumafer cp,
fumafer 66 mg comprime pellicule
"
fusibact,fusibact,"fusibact pde
"
test,test,"g-test
"
x clage,x clage,"g5 + x clage

"
galvus,"galvus, galvusmet","galvus 50,
galvus 50/500
galvusmet,
galvusmet 1000/50 cpes,
galvusmet 50 mg /1000,
galvusmet 50/1000,
galvusmet 50/1000mg,
galvusmet 50/500,
galvusmet 50/500mg,
galvusmet 50/850,
galvusmet 50/850mg"
gamalate,gamalate,"gamalate b6,
gamalate b6 cp
"
gant,"gant, gants steriles","gant 71/2

gants steriles"
gardenal,gardenal,"gardenal 100,
gardenal 100 mg
"
gaspral,"gaspral, gaspral dislep","gaspral,
gaspral 20,
gaspral 20 mg,
gaspral 20 mg gelule,
gaspral 20mg,
gaspral cp,
gaspral gel 20 mg,
gaspral + dislep
"
gastricid,gastricid,gastricid
gastrogel,gastrogel,"gastrogel,
gastrogel cp,
gastrogel sirop"
gatistar,gatistar,gatistar collyre
gaviscon,"gaviscon, gaviscon ou alginate de sodium","gaviscon,
gaviscon sachet,
gaviscon sachets,
gaviscon sirop,
gaviscon sirop nourrisson,
gaviscon sp,
gaviscon ou alginate de sodium"
larmes,"larmes, larmes opht","gel larmes,
gel larmes gel,
gel larmes gel opht
"
geltim,geltim,geltim lp
gelusil,gelusil,"gelusil cp
"
genacid,genacid,"genacid,
genacid -sirop,
genacid cp,
genacid sirop,
genacid sp
"
genclav,"genclav, genclav sh, genclav sht","genclav,
genclav 1000,
genclav 1000 mg,
genclav 1000 mg sachet,
genclav 1000/125,
genclav 1g,
genclav 1g sachet,
genclav 1g sachets,
genclav 250,
genclav 250 mg,
genclav 250 mg sachet,
genclav 500,
genclav cp,
genclav sachet,
genclav sachet 1 g,
genclav sachet 1g,
genclav sachets 250,
genclav scht,
genclav sp,
genclav 1g sh,
genclav sht"
genes,"genes, genes fer, genes vit, genes vit c, genes vit magnesium,
 genes vit multi, genes vit zinc","genes fer cp,
genes plus,
genes vit,
genes vit +,
genes vit junior,
genes vit junior cp,
genes vit mg+,
genes vit plus,
genes vit c,
genes vit 300 magnesium,
genes vit multi,
genes vit zinc"
genfort,"genfort, genforte, genforte gh","genfort cp
genforte,
genforte comp,
genforte comprimes,
genforte cp,
genforte sp,
genforte suspension,
genforte gh sp"
genkid essentiel,genkid essentiel,"genkid essentiel sp
"
genoulliere,genoulliere,"genoulliere
"
genpar,"genpar, genpar perf","genpar,
genpar 1g,
genpar perf
"
genset,"genset, genset cop, genset ou bilaxten","genset,
genset -10 mg,
genset 10,
genset 10 mg,
genset 10mg cp,
genset 5 mg,
genset comprime,
genset cp,
genset cp 10 mg,
genset sirop,
genset sp,
genset cop,
genset cp ou bilaxten cp"
gensil,"gensil, gensil dentifrice, gensil huile, gensil lactation","gensil,
gensil -sp,
gensil sirop,
gensil sp,
gensil dentifrice,
gensil huile,
gensil lactation
"
genskin,"genskin, genskin eclat, genskin poudre, genskin savon, 
genskin savon exfoliant, genskin solaire, genskin vit e","genskin creme solaire,
genskin eclat,
genskin lotion,
genskin vit e,
genskin poudre,
genskin savon,
genskin savon exfoliant
"
genta,"genta, gentalline
gentasol","genta,
genta 80,
genta collyre,
genta pommade,
genta sol collyre
gentalline 80 mg
gentasol,
gentasol collyre"
genvas,genvas,"genvas 10,
genvas 10 mg,
genvas 20
"
gestane,"gestane, gestane cap","gestane,
gestane capsules,
gestane cp,
gestane g cp,
gestane gel,
gestane gelule,
gestane cap
"
gestarelle,"gestarelle, gestarelle allaitement, gestarelle grossesse","gestarelle,
gestarelle cp,
gestarelle g,
gestarelle g capsule,
gestarelle allaitement,
gestarelle grossesse"
ginkocer,ginkocer,"ginkocer 40 mg
"
glide,"glide, glide m","glide 60,
glide 60/500,
glide m - 60/850,
glide m 60/500,
glide m 60/850,
glide m 60/850mg,
glide m lp 60/850
"
gluconate de calcium lavoisier,gluconate de calcium lavoisier,"gluconate de calcium lavoisier - 10%, 10ml/10
"
glucophage,glucophage,"glucophage /1000,
glucophage 1000,
glucophage 500,
glucophage 500 mg
"
glucose,"glucose, glucose aguettant","glucose 5%,
glucose aguettant - 5%, fl/500ml
glucovance 1000,
"
glucovance,glucovance,"glucovance 2,5 mg"
glyss,"glyss, glyss supp","glyss - 2,16g, b/10,
glyss adulte,
glyss suppo,
glyss suppo nourrison,
glyss suppo nrs,
glyss suppositoire,
glyss supp"
gommage yafa,gommage yafa,gommage yafa
gorpils,"gorpils, gorpils pastille, gorpils pastilles","gorpils,
gorpils pastille,
gorpils pastilles"
goupillon,goupillon,goupillon
gramocef,"gramocef, gramocef o","gramocef 200,
gramocef 200 mg,
gramocef sp 100/5,
gramocef o,
gramocef o 100mg sp,
gramocef o 200 mg,
gramocef o 50 sp,
gramocef o sp"
gripex,"gripex, gripex jour, gripex sach, gripex schet, gripex sht","gripex,
gripex cp,
gripex sachet,
gripex sachets,
gripex sch,
gripex sach,
gripex sht,
gripex jour,
gripex schet"
grippe water,grippe water,grippe water
grisefuline,grisefuline,grisefuline 500
griseo,"griseo, griseo salicylee, griseofulvine, griseopharm","griseo 125mg,
griseo 250,
griseo 250 mg,
griseo 250mg,
griseo 500,
griseo 500 mg,
griseo 500mg,
griseo cp,
griseo pommade,
griseo sp,
griseo salicylee 5% pde
griseofulvine 500
griseopharm 125 cp,
griseopharm 125 mg,
griseopharm 125 mg cp,
griseopharm 125mg,
griseopharm 250 mg,
griseopharm 250mg,
griseopharm 500"
guaflex,guaflex,guaflex sp
guarana,guarana,guarana
guronsan,guronsan,guronsan
gvia m,gvia m,"gvia-m,
gvia-m 50/1000mg"
gyala,gyala,"gyala 200 mg sp,
gyala 400"
gynanfort,"gynanfort, gynanfort ov, gynanfort ovle","gynanfort,
gynanfort ovule,
gynanfort ov,
gynanfort ovle"
gynecline,gynecline,"gynecline 200 mg cp
"
gynomax,"gyno mycolex,
gynomax, gynomax ovl
gynophilus
","gyno mycolex ovules,
gynomax,
gynomax ovule,
gynomax ovl
gynophilus,
gynophilus ovules
"
gynospan,gynospan,"gynospan,
gynospan cp,
gynospan suppo"
haemup,haemup,"haem up gel,
haem up gelules,
haem up sp,
haemup gel"
haldol,"haldol, haldol decanoas","haldol decanoas 50 mg,
haldol goutte 2%"
haleflu,haleflu,"hale flu,
haleflu,
haleflu sachet
"
halflu,halflu,halflu sachet
halopara,halopara,"halopara 1g
"
halospa s,halospa s,halospa s
hapenz,hapenz,"hapenz 1000 sp,
hapenz sp"
havrix,"havrix, havrix ou avaxim, havrix ou avaxim pediatrique","havrix,
havrix 720,
havrix 720 ou avaxim,
havrix ou avaxim pediatrique"
hc nex,hc nex,hc nex
helicidine,helicidine,helicidine sp
helicocin,helicocin,"helicocin 750/500mg,
helicocin comprimes,
helicocin cp"
helmintox,"helmintox, helmintox sach","helmintox,
helmintox 750,
helmintox 750 mg,
helmintox cp,
helmintox sachet,
helmintox scht,
helmintox sp,
helmintox sach"
hemafer,"hemafer, hemafer effervescents, hemafer fol, hemafer folcp a croquer","hemafer,
hemafer 100 mg,
hemafer cp,
hemafer cp efferv,
hemafer cp effervescent,
hemafer eff,
hemafer gel,
hemafer inj,
hemafer sirop,
hemafer sp,
hemafer fol,
hemafer fol comprimes,
hemafer fol cp,
hemafer comprimes effervescents,
hemafer folcp a croquer"
hemogen l,hemogen l,"hemogen l
"
hemorex,"hemorex, hemorex kit","hemorex,
hemorex kit"
heparine calcique,heparine calcique,"heparine calcique
"
hepazyme,hepazyme,"hepazyme
"
hexaspray,hexaspray,"hexaspray
"
hexaxim,"hexaxim, hexaxim vaccin","hexaxim,
hexaxim vaccin
"
hexidine,"hexidine, hexidine de","hexidine,
hexidine bb,
hexidine sol,
hexidine solution,
hexidine bain de bouche"
hexigel,hexigel,"hexigel,
hexigel gel
"
hexomedine,hexomedine,"hexomedine solution
"
hextril de,hextril de,"hextril bain de bouche
"
histagan,"histagan, histagan srp","histagan sp,
histagan srp
"
hosto,hosto,hosto
huile gomenolee,"huile d'amande douce, huile de paraffine, huile de parafine, 
huile gomenolee, huile lavande ducray, huile lavante dexyane, 
huile lavante neutraderm relipid, huile lavante neutraderm relipidant","huile d'amande douce,
huile de paraffine,
huile de parafine,
huile gomenolee 2%,
huile gomenolee 5%,
huile gomenolee enfant,
huile lavande ducray,
huile lavante dexyane,
huile lavante neutraderm relipid,
huile lavante neutraderm relipidant"
 humex pastilles,"humex collutoire, humex mal de gorge, humex pastilles","humex collutoire,
humex mal de gorge,
humex pastilles"
hydratec,hydratec,"hydratec sachet
"
hydravit,hydravit,"hydravit
"
hydrocortisone,hydrocortisone,"hydrocortisone 100 mg
"
hyfresch ou polyfresch,hyfresch ou polyfresch,"hyfresch ou polyfresch collyre
"
hyfresh,"hyfresh, hyfresh cole, hyfresh colllyre","hyfresh,
hyfresh -,
hyfresh col,
hyfresh collyre,
hyfresh cole,
hyfresh colllyre"
hypafix,"hypafix, hypafix moyen, hypafix pm","hypafix,
hypafix 1/4,
hypafix pm,
hypafix moyen
"
hyperium,hyperium,"hyperium 1 mg
"
i frais,i frais,"i frais,
i frais collyre"
ibex,ibex,"ibex,
ibex cp,
ibex gel,
ibex gelule,
ibex gelules"
ibumol,"ibumol, ibumol comps, ibumol coprimes","ibumol,
ibumol 400,
ibumol comp,
ibumol comprimes,
ibumol cp,
ibumol sp,
ibumol 1g coprimes,
ibumol comps
"
ibuprof,"ibuprof, ibuprofen, ibuprofen gh
ibuprofene, ibuprofene gh, ibuprofene vir","ibuprof
ibuprofen cp,
ibuprofen gh 200 ml,
ibuprofen gh sp
ibuprofene 200 mg,
ibuprofene 400 mg comprime,
ibuprofene cp,
ibuprofene sp,
ibuprofene gh,
ibuprofene gh sirop,
ibuprofene gh sp,
ibuprofene vir 600"
iclof,iclof,"iclof,
iclof gel,
iclof pommade
"
ictyane eclat,ictyane eclat,"ictyane eclat
"
ideos,ideos,"ideos,
ideos comp,
ideos cp
"
idol,"idol, idol supo, idol supp","idol supo,
idol supp,
idol suppo
"
ilax,"ilax, ilax e","ilax,
ilax 10 g,
ilax 10 mg,
ilax cp,
ilax sachets,
ilax sachets e
"
imenor,"imenor, imenor ou imeth","imenor 10mg cp,
imenor ou imeth 10 mg
"
immard,immard,"immard,
immard 200,
immard 200mg"
immodium,immodium,"immodium
"
imodium,imodium,"imodium,
imodium -,
imodium cp,
imodium gel,
imodium gelule,
imodium gelules
"
immun active,"immun active, immun active denk","immun active,
immun active denk

"
immunoplex n,immunoplex n,"immunoplex-n
"
immunorho,immunorho,"immunorho
"
imox,imox,"imox 100 mg,
imox 500,
imox 500 mg,
imox 500mg gel,
imox gel 500 mg
"
imurel,imurel,"imurel 50 mg,
imurel 50mg"
indapril,indapril,"indapril 2,5/10
"
indocinex,indocinex,"indocinex
"
indocollyre,indocollyre,"indocollyre,
indocollyre collyre
"
inexium,inexium,"inexium,
inexium 10,
inexium 20,
inexium 20 mg,
inexium 20mg,
inexium 40,
inexium 40 mg,
inexium 40 mg cp,
inexium cp 20 mg,
inexium cp 40mg
"
inofer,inofer,"inofer cp
"
inovair,inovair,"inovair
"
instaclop,instaclop,"instaclop plus
"
intimy lubrifiant,intimy lubrifiant,"intimy gel lubrifiant
"
intra nul rose,intra nul rose,intra nul rose
iohexol,iohexol,"iohexol 300 mg 100 ml
"
ioprost,ioprost,"ioprost,
ioprost collyre"
loprost,loprost,loprost collyre
ipproton,ipproton,"ip proton 20mg cp,
ipproton 20mg
"
ipozole,ipozole,"
ipozole cp
"
irex,irex,irex sirop
isolone,isolone,"isolone 10 mg,
isolone 20,
isolone 20 mg,
isolone 20 mg comprime dispersible,
isolone 20mg,
isolone 20mg cp effervescent,
isolone 5 mg,
isolone 5 mg effervescent,
isolone 5mg,
isolone cp 20,
isolone cp 20 mg,
isolone cp dispersible
"
isone,isone,"isone,
isone 20,
isone 20 mg,
isone 5 mg,
isone 5mg,
isone cp 20 mg
"
isoptine,isoptine,"isoptine lp 20 mg,
isoptine lp 240 mg
"
ixine,ixine,"ixine 40 mg,
ixine sirop,
ixine sp"
iz,iz,iz cp
izalga,izalga,izalga gelules
izalgi,izalgi,izalgi gelules
jersey metre,jersey metre,jersey 1 metre
joyclav,joyclav,joyclav 1g
juvamine,"juva boost, juvamine, juvamine appetit tonus, juvamine boost, juvamine booster, 
juvamine c, juvamine ginseng tonus, juvamine gold, juvamine gold vit c, 
juvamine kids, juvamine magnesium, juvamine melatonine, 
juvamine melatonine passiflore, juvamine multiv, juvamine multivit, 
juvamine taurine, juvamine tonus, juvamine vit c","juva boost, 
juvamine,
juvamine 3c,
juvamine 3c 1000,
juvamine 3c cp,
juvamine cp,
juvamine sp,
juvamine 3 c,
juvamine c,
juvamine c 1000,
juvamine vit c,
juvamine vit c 1000,
juvamine appetit tonus,
juvamine boost,
juvamine booster,
juvamine ginseng tonus,
juvamine gold,
juvamine gold 22,
juvamine gold vit c cp sec,
juvamine kids,
juvamine magnesium,
juvamine magnesium cp sec,
juvamine melatonine,
juvamine melatonine/ passiflore,
juvamine multiv,
juvamine multivit,
juvamine taurine,
juvamine tonus"
kaleorid,kaleorid,kaleorid 600 mg
kazol,kazol,kazol 2% creme
kcl,kcl,kcl
kefotax,kefotax,kefotax
kelo cote,kelo cote,kelo cote gel
keozol,keozol,keozol creme
keracnyl uv,"keracnyl moussant, keracnyl uv","keracnyl gel moussant,
keracnyl uv"
ketesse,ketesse,"ketesse 25mg cp,
ketesse cp,
ketesse sachet"
ketoderm,"ketoderm, ketoderm moussant, ketoderm shampoing","ketoderm creme,
ketoderm moussant,
ketoderm shampoing"
ketoflex,ketoflex,ketoflex suppo
ketonal,ketonal,ketonal suppo
ketonex,ketonex,"ketonex creme,
ketonex pommade"
